"Date","Price","Open","High","Low","Vol.","Change %"
"06/21/2018","824.83","827.10","829.11","824.13","","-0.14%"
"06/20/2018","826.00","826.83","830.06","824.14","","-0.04%"
"06/19/2018","826.29","826.91","826.91","822.73","","-0.17%"
"06/18/2018","827.71","831.54","831.54","824.76","","-0.36%"
"06/15/2018","830.67","831.17","834.08","827.44","","-0.34%"
"06/14/2018","833.54","834.75","835.33","829.07","","-0.07%"
"06/13/2018","834.10","832.21","834.10","829.76","","0.29%"
"06/12/2018","831.72","827.27","831.99","827.06","","0.47%"
"06/11/2018","827.81","830.45","830.45","825.68","","-0.24%"
"06/08/2018","829.78","828.11","830.13","824.86","","0.07%"
"06/07/2018","829.21","827.93","830.92","827.46","","0.51%"
"06/05/2018","825.02","824.30","825.48","816.98","","0.09%"
"06/04/2018","824.30","826.21","826.90","820.43","","-0.04%"
"06/01/2018","824.64","821.49","826.05","819.50","","0.16%"
"05/31/2018","823.33","801.16","823.33","801.16","","2.92%"
"05/30/2018","800.00","796.83","800.73","796.79","","0.29%"
"05/29/2018","797.69","800.00","801.66","795.46","","-0.26%"
"05/28/2018","799.80","803.31","806.23","799.28","","-0.02%"
"05/25/2018","799.92","799.98","802.37","799.29","","0.16%"
"05/24/2018","798.65","799.02","801.52","797.19","","0.01%"
"05/23/2018","798.59","802.31","802.31","794.16","","-0.33%"
"05/22/2018","801.21","806.63","806.97","798.07","","-0.47%"
"05/21/2018","804.97","800.66","805.86","800.66","","0.60%"
"05/18/2018","800.13","796.88","801.42","796.37","","0.44%"
"05/17/2018","796.64","803.40","803.40","795.25","","-0.71%"
"05/16/2018","802.30","802.10","804.08","799.08","","0.03%"
"05/15/2018","802.02","802.80","804.74","800.05","","-0.20%"
"05/14/2018","803.62","802.47","804.52","798.96","","0.41%"
"05/11/2018","800.36","797.82","800.53","795.46","","0.54%"
"05/09/2018","796.05","793.19","796.47","791.87","","0.42%"
"05/08/2018","792.71","791.73","794.83","788.55","","0.06%"
"05/07/2018","792.23","793.31","794.25","789.82","","-0.07%"
"05/04/2018","792.82","792.34","793.31","789.82","","0.18%"
"05/03/2018","791.38","795.68","797.25","790.73","","-0.42%"
